23/12/2022 12:48:38:482  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 12:48:38:573  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 12:48:43:184  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 1111^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:48:44:873  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:48:48:609  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 222#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:48:51:386  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:48:51:821  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:serPruebaWS | Framework | serPruebaWS |  |  | 00001018341670247984
23/12/2022 12:49:06:426  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 12:49:06:436  INFO - In Progress | session id:sess269749 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 12:49:06:436  INFO - Application Exit | session id:sess269749 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 13:02:41:915  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 13:02:42:021  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 13:02:42:114  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 13:02:46:720  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 333^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:02:49:188  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:02:52:901  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 0000#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:02:55:844  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 13:02:55:953  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:serPruebaWS | Framework | serPruebaWS |  |  | 00001018341670247984
23/12/2022 13:03:10:861  INFO - Node Entry | session id:sess5199827 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 13:03:10:865  INFO - In Progress | session id:sess5199827 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 13:03:10:866  INFO - Application Exit | session id:sess5199827 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 13:10:57:155  INFO - Node Entry | session id:sess2509830 | IVRColmenaARP:Start | Framework | Start |  |  | 
